WTC (Departure),Exchange (Departure),Grove St (Departure),JSQ (Departure),Harrison (Departure),Newark (Arrival)
12:00 AM,12:04 AM,12:07 AM,12:11 AM,12:22 AM,12:25 AM
12:30 AM,12:34 AM,12:37 AM,12:41 AM,12:52 AM,12:55 AM
1:10 AM,1:14 AM,1:17 AM,1:21 AM,1:32 AM,1:35 AM
1:50 AM,1:54 AM,1:57 AM,2:01 AM,2:12 AM,2:15 AM
2:30 AM,2:34 AM,2:37 AM,2:41 AM,2:52 AM,2:55 AM
3:10 AM,3:14 AM,3:17 AM,3:21 AM,3:32 AM,3:35 AM
3:50 AM,3:54 AM,3:57 AM,4:01 AM,4:12 AM,4:15 AM
4:30 AM,4:34 AM,4:37 AM,4:41 AM,4:52 AM,4:55 AM
5:10 AM,5:14 AM,5:17 AM,5:21 AM,5:32 AM,5:35 AM
5:45 AM,5:49 AM,5:52 AM,5:56 AM,6:07 AM,6:10 AM
6:20 AM,6:24 AM,6:27 AM,6:31 AM,6:42 AM,6:45 AM
6:55 AM,6:59 AM,7:02 AM,7:06 AM,7:17 AM,7:20 AM
7:30 AM,7:34 AM,7:37 AM,7:41 AM,7:52 AM,7:55 AM
8:05 AM,8:09 AM,8:12 AM,8:16 AM,8:27 AM,8:30 AM
8:40 AM,8:44 AM,8:47 AM,8:51 AM,9:02 AM,9:05 AM
9:15 AM,9:19 AM,9:22 AM,9:26 AM,9:37 AM,9:40 AM
9:50 AM,9:54 AM,9:57 AM,10:01 AM,10:12 AM,10:15 AM
10:20 AM,10:24 AM,10:27 AM,10:31 AM,10:42 AM,10:45 AM
10:50 AM,10:54 AM,10:57 AM,11:01 AM,11:12 AM,11:15 AM
11:10 AM,11:14 AM,11:17 AM,11:21 AM,11:32 AM,11:35 AM
11:30 AM,11:34 AM,11:37 AM,11:41 AM,11:52 AM,11:55 AM
11:50 AM,11:54 AM,11:57 AM,12:01 PM,12:12 PM,12:15 PM
12:10 PM,12:14 PM,12:17 PM,12:21 PM,12:32 PM,12:35 PM
12:30 PM,12:34 PM,12:37 PM,12:41 PM,12:52 PM,12:55 PM
12:50 PM,12:54 PM,12:57 PM,1:01 PM,1:12 PM,1:15 PM
1:10 PM,1:14 PM,1:17 PM,1:21 PM,1:32 PM,1:35 PM
1:30 PM,1:34 PM,1:37 PM,1:41 PM,1:52 PM,1:55 PM
1:50 PM,1:54 PM,1:57 PM,2:01 PM,2:12 PM,2:15 PM
2:10 PM,2:14 PM,2:17 PM,2:21 PM,2:32 PM,2:35 PM
2:30 PM,2:34 PM,2:37 PM,2:41 PM,2:52 PM,2:55 PM
2:50 PM,2:54 PM,2:57 PM,3:01 PM,3:12 PM,3:15 PM
3:10 PM,3:14 PM,3:17 PM,3:21 PM,3:32 PM,3:35 PM
3:30 PM,3:34 PM,3:37 PM,3:41 PM,3:52 PM,3:55 PM
3:50 PM,3:54 PM,3:57 PM,4:01 PM,4:12 PM,4:15 PM
4:10 PM,4:14 PM,4:17 PM,4:21 PM,4:32 PM,4:35 PM
4:30 PM,4:34 PM,4:37 PM,4:41 PM,4:52 PM,4:55 PM
4:50 PM,4:54 PM,4:57 PM,5:01 PM,5:12 PM,5:15 PM
5:10 PM,5:14 PM,5:17 PM,5:21 PM,5:32 PM,5:35 PM
5:30 PM,5:34 PM,5:37 PM,5:41 PM,5:52 PM,5:55 PM
5:50 PM,5:54 PM,5:57 PM,6:01 PM,6:12 PM,6:15 PM
6:10 PM,6:14 PM,6:17 PM,6:21 PM,6:32 PM,6:35 PM
6:30 PM,6:34 PM,6:37 PM,6:41 PM,6:52 PM,6:55 PM
6:50 PM,6:54 PM,6:57 PM,7:01 PM,7:12 PM,7:15 PM
7:10 PM,7:14 PM,7:17 PM,7:21 PM,7:32 PM,7:35 PM
7:30 PM,7:34 PM,7:37 PM,7:41 PM,7:52 PM,7:55 PM
7:50 PM,7:54 PM,7:57 PM,8:01 PM,8:12 PM,8:15 PM
8:10 PM,8:14 PM,8:17 PM,8:21 PM,8:32 PM,8:35 PM
8:30 PM,8:34 PM,8:37 PM,8:41 PM,8:52 PM,8:55 PM
8:50 PM,8:54 PM,8:57 PM,9:01 PM,9:12 PM,9:15 PM
9:10 PM,9:14 PM,9:17 PM,9:21 PM,9:32 PM,9:35 PM
9:30 PM,9:34 PM,9:37 PM,9:41 PM,9:52 PM,9:55 PM
9:50 PM,9:54 PM,9:57 PM,10:01 PM,10:12 PM,10:15 PM
10:10 PM,10:14 PM,10:17 PM,10:21 PM,10:32 PM,10:35 PM
10:45 PM,10:49 PM,10:52 PM,10:56 PM,11:07 PM,11:10 PM
11:20 PM,11:24 PM,11:27 PM,11:31 PM,11:42 PM,11:45 PM
11:55 PM,11:59 PM,12:02 AM,12:06 AM,12:17 AM,12:20 AM
